gid,visteam,hometeam,site,date,number,starttime,daynight,innings,tiebreaker,usedh,htbf,timeofgame,attendance,fieldcond,precip,sky,temp,winddir,windspeed,oscorer,forfeit,suspend,umphome,ump1b,ump2b,ump3b,umplf,umprf,wp,lp,save,gametype,vruns,hruns,wteam,lteam,line,batteries,lineups,box,pbp,season
HOU201303310,TEX,HOU,HOU03,20130331,0,7:08PM,night,,,true,,180,41307,dry,none,dome,73,unknown,0,wilkt701,,,holbs901,nauep901,fleta901,conrc901,,,norrb001,harrm001,bedae001,regular,2,8,HOU,TEX,y,both,y,y,y,2013
ARI201304010,SLN,ARI,PHO01,20130401,0,7:10PM,night,,,false,,166,48023,unknown,unknown,cloudy,82,fromrf,8,rausg701,,,davig901,iassd901,knigb901,carlm901,,,kenni001,waina001,,regular,2,6,ARI,SLN,y,both,y,y,y,2013
ATL201304010,PHI,ATL,ATL02,20130401,0,7:14PM,night,,,false,,176,51456,unknown,unknown,cloudy,69,ltor,11,wilkj701,,,welkt901,everm901,fostm901,barrs901,,,avill001,hamec001,kimbc001,regular,5,7,ATL,PHI,y,both,y,y,y,2013
CHA201304010,KCA,CHA,CHI12,20130401,0,3:12PM,day,,,true,,158,39012,unknown,unknown,cloudy,44,torf,12,roseb701,,,laynj901,onorb901,wendh902,porta901,,,salec001,shiej002,reeda001,regular,0,1,CHA,KCA,y,both,y,y,y,2013
CIN201304010,ANA,CIN,CIN09,20130401,0,4:11PM,day,,,false,,285,43168,unknown,unknown,cloudy,47,tolf,11,rothr701,,,scotd901,millb901,buckc901,ticht901,,,lowem002,hoovj002,friee001,regular,3,1,ANA,CIN,y,both,y,y,y,2013
LAN201304010,SFN,LAN,LOS03,20130401,0,1:15PM,day,,,false,,145,53136,unknown,unknown,unknown,63,tocf,7,hartd701,,,darlg901,emmep901,drecb901,fagac901,,,kersc001,kontg001,,regular,0,4,LAN,SFN,y,both,y,y,y,2013
MIL201304010,COL,MIL,MIL06,20130401,0,1:10PM,day,,,false,,193,45781,dry,none,dome,63,unknown,0,odrit701,,,bellw901,vanol901,randt901,gonzm901,,,hendj001,ottaa001,,regular,4,5,MIL,COL,y,both,y,y,y,2013
MIN201304010,DET,MIN,MIN04,20130401,0,3:17PM,day,,,true,,208,38282,unknown,unknown,sunny,35,tocf,17,wongg701,,,joycj901,wolfj901,hicke901,blasc901,,,verlj001,worlv001,cokep001,regular,4,2,DET,MIN,y,both,y,y,y,2013
NYA201304010,BOS,NYA,NYC21,20130401,0,1:10PM,day,,,true,,217,49514,unknown,unknown,cloudy,62,rtol,17,sprej701,,,barrt901,marqa901,dimum901,belld901,,,lestj001,sabac001,,regular,8,2,BOS,NYA,y,both,y,y,y,2013
NYN201304010,SDN,NYN,NYC20,20130401,0,1:13PM,day,,,false,,181,41053,unknown,unknown,unknown,61,tocf,18,karph701,,,mcclt901,mealj901,hudsm901,bakej902,,,niesj001,volqe001,,regular,2,11,NYN,SDN,y,both,y,y,y,2013
