gid,visteam,hometeam,site,date,number,starttime,daynight,innings,tiebreaker,usedh,htbf,timeofgame,attendance,fieldcond,precip,sky,temp,winddir,windspeed,oscorer,forfeit,suspend,umphome,ump1b,ump2b,ump3b,umplf,umprf,wp,lp,save,gametype,vruns,hruns,wteam,lteam,line,batteries,lineups,box,pbp,season
OAK201203280,SEA,OAK,TOK01,20120328,0,7:09PM,night,,,true,,184,44227,unknown,unknown,unknown,72,unknown,0,feldd701,,,hallt901,nelsj901,hudsm901,belld901,,,wilht001,caria001,leagb001,regular,3,1,SEA,OAK,y,both,y,y,y,2012
OAK201203290,SEA,OAK,TOK01,20120329,0,6:04PM,night,,,true,,143,43391,unknown,unknown,unknown,72,unknown,0,feldd701,,,nelsj901,hudsm901,belld901,hallt901,,,colob001,kells001,balfg001,regular,1,4,OAK,SEA,y,both,y,y,y,2012
MIA201204040,SLN,MIA,MIA02,20120404,0,7:15PM,night,,,false,,162,36601,unknown,unknown,sunny,79,fromrf,11,jernr701,,,rapue901,herna901,diazl901,hicke901,,,lohsk001,johnj009,mottj001,regular,4,1,SLN,MIA,y,both,y,y,y,2012
CHN201204050,WAS,CHN,CHI11,20120405,0,1:25PM,day,,,false,,155,41176,unknown,unknown,cloudy,51,fromcf,18,frisd701,,,demud901,danlk901,eddid901,nauep901,,,clipt001,marmc001,lidgb001,regular,2,1,WAS,CHN,y,both,y,y,y,2012
CIN201204050,MIA,CIN,CIN09,20120405,0,4:10PM,day,,,false,,164,42956,unknown,unknown,cloudy,60,ltor,15,rothr701,,,mcclt901,barrt901,rungb901,hudsm901,,,cuetj001,buehm001,,regular,0,4,CIN,MIA,y,both,y,y,y,2012
CLE201204050,TOR,CLE,CLE08,20120405,0,3:08PM,day,,,true,,314,43190,unknown,unknown,sunny,44,fromrf,16,brosc701,,,welkt901,carlm901,everm901,schrp901,,,perel001,valdl001,,regular,7,4,TOR,CLE,y,both,y,y,y,2012
DET201204050,BOS,DET,DET05,20120405,0,1:10PM,day,,,true,,187,45027,unknown,unknown,unknown,43,ltor,15,marod701,,,scotd901,millb901,iassd901,buckc901,,,valvj001,melam001,,regular,2,3,DET,BOS,y,both,y,y,y,2012
NYN201204050,ATL,NYN,NYC20,20120405,0,1:18PM,day,,,false,,159,42080,unknown,unknown,sunny,53,fromlf,10,karph701,,,davig901,coope901,cuzzp901,carav901,,,ramir003,hanst001,franf001,regular,0,1,NYN,ATL,y,both,y,y,y,2012
PIT201204050,PHI,PIT,PIT08,20120405,0,1:37PM,day,,,false,,134,39585,unknown,unknown,cloudy,52,ltor,4,krizt701,,,gormb901,vanol901,randt901,ticht901,,,hallr001,bedae001,papej001,regular,1,0,PHI,PIT,y,both,y,y,y,2012
SDN201204050,LAN,SDN,SAN02,20120405,0,4:09PM,day,,,false,,176,42941,unknown,unknown,sunny,69,ltor,6,zaveb701,,,darlg901,mealj901,emmep901,barrs901,,,lindj004,volqe001,guerj002,regular,5,3,LAN,SDN,y,both,y,y,y,2012
ANA201204060,KCA,ANA,ANA01,20120406,0,7:11PM,night,,,true,,142,44106,unknown,unknown,sunny,69,tocf,4,munse701,,,laynj901,davib902,wendh902,belld901,,,weavj003,crowa001,,regular,0,5,ANA,KCA,y,both,y,y,y,2012
ARI201204060,SFN,ARI,PHO01,20120406,0,4:13PM,day,,,false,,173,49130,unknown,unknown,cloudy,77,rtol,7,johnr701,,,joycj901,reynj901,dimum901,hoyej901,,,kenni001,linct001,putzj001,regular,4,5,ARI,SFN,y,both,y,y,y,2012
BAL201204060,MIN,BAL,BAL12,20120406,0,3:09PM,day,,,true,,158,46773,unknown,unknown,sunny,59,rtol,5,hennj701,,,tscht901,nelsj901,welkb901,guccc901,,,arrij001,pavac001,johnj010,regular,2,4,BAL,MIN,y,both,y,y,y,2012
HOU201204060,COL,HOU,HOU03,20120406,0,6:12PM,night,,,false,,191,43464,unknown,unknown,cloudy,79,tolf,9,mclei701,,,cedeg901,barkl901,culbf901,johna901,,,guthj001,rodrf004,betar001,regular,5,3,COL,HOU,y,both,y,y,y,2012
MIL201204060,SLN,MIL,MIL06,20120406,0,3:10PM,day,,,false,,188,46086,dry,none,dome,65,unknown,0,odrit701,,,herna901,diazl901,hicke901,rapue901,,,garcj004,gally001,,regular,11,5,SLN,MIL,y,both,y,y,y,2012
OAK201204060,SEA,OAK,OAK01,20120406,0,7:09PM,night,,,true,,186,35067,unknown,unknown,sunny,55,rtol,9,dybdc701,,,hallt901,onorb901,marqa901,fairc901,,,vargj001,mccab001,,regular,7,3,SEA,OAK,y,both,y,y,y,2012
SDN201204060,LAN,SDN,SAN02,20120406,0,7:06PM,night,,,false,,151,32490,unknown,unknown,unknown,61,ltor,10,zaveb701,,,mealj901,emmep901,barrs901,darlg901,,,billc001,luebc001,,regular,6,0,LAN,SDN,y,both,y,y,y,2012
TBA201204060,NYA,TBA,STP01,20120406,0,3:10PM,day,,,true,,224,34078,unknown,unknown,dome,72,rtol,0,nigrk701,,,westj901,holbs901,fleta901,drakr901,,,rodnf001,rivem002,,regular,6,7,TBA,NYA,y,both,y,y,y,2012
TEX201204060,CHA,TEX,ARL02,20120406,0,1:08PM,day,,,true,,144,49085,unknown,unknown,sunny,75,ltor,3,wells701,,,wintm901,bellw901,wegnm901,knigb901,,,lewic001,dankj001,nathj001,regular,2,3,TEX,CHA,y,both,y,y,y,2012
ANA201204070,KCA,ANA,ANA01,20120407,0,1:06PM,day,,,true,,166,40022,unknown,unknown,sunny,85,tocf,4,munse701,,,davib902,wendh902,belld901,laynj901,,,hochl001,hared001,,regular,6,3,KCA,ANA,y,both,y,y,y,2012
ARI201204070,SFN,ARI,PHO01,20120407,0,1:05PM,day,,,false,,156,34789,unknown,unknown,sunny,79,ltor,4,johnr701,,,reynj901,dimum901,hoyej901,joycj901,,,hudsd001,bumgm001,putzj001,regular,4,5,ARI,SFN,y,both,y,y,y,2012
BAL201204070,MIN,BAL,BAL12,20120407,0,7:07PM,night,,,true,,157,31532,unknown,unknown,sunny,63,ltor,8,hennj701,,,nelsj901,welkb901,guccc901,tscht901,,,huntt002,lirif001,,regular,2,8,BAL,MIN,y,both,y,y,y,2012
