gid,visteam,hometeam,site,date,number,starttime,daynight,innings,tiebreaker,usedh,htbf,timeofgame,attendance,fieldcond,precip,sky,temp,winddir,windspeed,oscorer,forfeit,suspend,umphome,ump1b,ump2b,ump3b,umplf,umprf,wp,lp,save,gametype,vruns,hruns,wteam,lteam,line,batteries,lineups,box,pbp,season
BOS201004040,NYA,BOS,BOS07,20100404,0,8:10PM,night,,,true,,226,37440,unknown,unknown,cloudy,67,torf,15,shalm701,,,westj901,herna901,schrp901,drakr901,,,okajh001,parkc002,papej001,regular,7,9,BOS,NYA,y,both,y,y,y,2010
ANA201004050,MIN,ANA,ANA01,20100405,0,7:08PM,night,,,true,,180,43504,unknown,unknown,cloudy,58,tocf,11,munse701,,,mcclt901,everm901,fleta901,johna901,,,weavj003,bakes002,fuenb001,regular,3,6,ANA,MIN,y,both,y,y,y,2010
ARI201004050,SDN,ARI,PHO01,20100405,0,2:10PM,day,,,false,,151,49192,unknown,unknown,sunny,74,fromrf,6,johnr701,,,gormb901,barrt901,randt901,nauep901,,,hared001,garlj001,,regular,3,6,ARI,SDN,y,both,y,y,y,2010
ATL201004050,CHN,ATL,ATL02,20100405,0,4:12PM,day,,,false,,165,53081,unknown,unknown,sunny,86,unknown,6,wilkj701,,,cousd901,joycj901,hudsm901,wolfj901,,,lowed001,zambc001,,regular,5,16,ATL,CHN,y,both,y,y,y,2010
CHA201004050,CLE,CHA,CHI12,20100405,0,1:09PM,day,,,true,,144,38935,unknown,unknown,cloudy,75,tolf,4,roseb701,,,darlg901,hohnb901,drecb901,estam901,,,buehm001,westj001,,regular,0,6,CHA,CLE,y,both,y,y,y,2010
CIN201004050,SLN,CIN,CIN09,20100405,0,1:10PM,day,,,false,,191,42493,unknown,unknown,cloudy,78,rtol,16,rothr701,,,reilm901,coope901,millb901,fairc901,,,carpc002,haraa001,,regular,11,6,SLN,CIN,y,both,y,y,y,2010
HOU201004050,SFN,HOU,HOU03,20100405,0,6:09PM,night,,,false,,154,43836,unknown,unknown,cloudy,77,tocf,13,mclei701,,,welkt901,timmt901,reybd901,dimum901,,,linct001,oswar001,wilsb001,regular,5,2,SFN,HOU,y,both,y,y,y,2010
KCA201004050,DET,KCA,KAN06,20100405,0,3:11PM,day,,,true,,185,40052,unknown,unknown,cloudy,73,rtol,16,blacd701,,,rapue901,culbf901,kulpr901,barkl901,,,zumaj001,tejer001,,regular,8,4,DET,KCA,y,both,y,y,y,2010
MIL201004050,COL,MIL,MIL06,20100405,0,1:10PM,day,,,false,,189,45808,unknown,unknown,sunny,68,tolf,10,odrit701,,,crawj901,onorb901,cuzzp901,guccc901,,,jimeu001,gally001,moraf001,regular,5,3,COL,MIL,y,both,y,y,y,2010
NYN201004050,FLO,NYN,NYC20,20100405,0,1:11PM,day,,,false,,190,41245,unknown,unknown,unknown,66,tolf,13,shanb701,,,bellw901,diazl901,nelsj901,hoyej901,,,santj003,johnj009,,regular,1,7,NYN,FLO,y,both,y,y,y,2010
